Name,Flux,Error_flux
Hgamma,0.0,0.09647397835042205
Hbeta,0.10448678615904303,0.07273396110347498
Halpha,0.37646744909043944,0.04607033778559972
[SII]6716,0.16641889880847455,0.04390691418020291
[SII]6731,0.08963716502544807,0.020853130043885178
HeII4687,0.0,0.04580527113160233
HeI5876,0.01795755875578412,0.026831235373988686
[OIII]4959,0.032682883472475575,0.07778658077325479
[OIII]5007,0.09804865041742672,0.07778658077325479
[OI]6300,0.07820265387316029,0.05394662705275215
[OI]6364,0.02606755129105343,0.05394662705275215
[NII]6548,0.07057792235530386,0.06307775971186613
[NII]6583,0.21173376706591157,0.06307775971186613
