,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.138,0.124,0.125,0.118,0.121,0.167,0.150
Continuum_2,0.118,0.114,0.115,0.110,0.117,0.139,0.120
Continuum_3,0.086,0.095,0.100,0.095,0.102,0.101,0.083
