,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,14.8456,5.0070,6.9345,2.0018,18.9268
r_e,5.5771,49.3771,49.3938,25.4679,4.2206
n,0.1156,0.1757,1.0176,2.1268,0.2380
x_0,17.2262,32.8602,45.0130,67.1883,81.2045
