,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.1137,0.7734,0.4694,0.2114,0.4334
r_e,3.5082,21.3976,2.8485,14.8514,12.8238
n,0.3862,0.2052,0.1459,2.8931,0.7631
x_0,18.9120,31.5510,46.9001,67.7082,79.2817
