,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,2.6216,3.1832,2.8306,7.7621,1.9684
r_e error,20.4426,17.9122,1.2938,19.9553,1.6707
n error,0.4530,0.2936,0.0433,2.2397,0.1321
x_0 error,0.3697,3.8483,1.7569,0.2364,0.4750
