,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.059,0.105,0.287,0.366,0.226
Continuum_2,0.053,0.083,0.228,0.332,0.212
Continuum_3,0.044,0.064,0.174,0.289,0.191
