,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.011,0.012,0.013,0.014,0.016,0.016,0.018,0.018,0.019,0.037,0.029,0.029,0.018,0.015,0.014,0.013,0.012,0.012,0.011,0.011
Continuum_2,0.007,0.008,0.008,0.011,0.011,0.012,0.013,0.012,0.015,0.026,0.017,0.020,0.015,0.012,0.011,0.010,0.009,0.009,0.008,0.008
Continuum_3,0.007,0.007,0.008,0.009,0.009,0.010,0.010,0.011,0.011,0.018,0.016,0.015,0.014,0.012,0.009,0.009,0.009,0.008,0.009,0.008
