,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.135,0.125,0.124,0.118,0.129,0.164,0.150
Continuum_2,0.117,0.115,0.114,0.110,0.123,0.139,0.120
Continuum_3,0.086,0.096,0.098,0.095,0.105,0.102,0.083
