,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.023,0.027,0.053,0.041
Continuum_2,0.016,0.019,0.041,0.034
Continuum_3,0.015,0.017,0.033,0.028
