,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.170,0.257,0.361,0.979,0.749
Continuum_2,0.146,0.226,0.306,0.856,0.648
Continuum_3,0.115,0.186,0.249,0.731,0.551
