,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,12.645,13.171,13.541,13.574,10.990
Continuum_2,14.401,15.043,15.141,18.150,16.437
Continuum_3,12.664,13.265,12.932,16.530,12.397
