,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.012,0.010,0.010,0.014,0.016
Continuum_2,0.009,0.008,0.008,0.009,0.008
Continuum_3,0.008,0.008,0.008,0.007,0.008
