,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.483,0.323,0.958,0.239
Continuum_2,0.470,0.376,1.037,0.327
Continuum_3,0.371,0.310,0.969,0.281
