,SNR,Signal,Noise
Spettro_1,-0.305,-0.023,0.076
Spettro_2,0.429,0.030,0.069
Spettro_3,-1.207,-0.098,0.081
Spettro_4,-1.392,-0.114,0.082
Spettro_5,1.460,0.123,0.084
Spettro_6,3.343,0.557,0.167
Spettro_7,2.230,1.371,0.615
Spettro_8,1.682,2.245,1.335
Spettro_9,2.351,1.866,0.794
Spettro_10,2.157,0.509,0.236
Spettro_11,0.677,0.119,0.176
Spettro_12,0.236,0.141,0.598
Spettro_13,-0.152,-0.065,0.429
Spettro_14,0.244,0.030,0.123
Spettro_15,1.218,0.223,0.183
Spettro_16,-1.670,-0.193,0.115
Spettro_17,0.063,0.005,0.079
Spettro_18,0.155,0.012,0.075
Spettro_19,-1.719,-0.098,0.057
Spettro_20,-1.261,-0.086,0.069
