,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,9.288,8.612,8.712,5.973,7.750,8.232,9.025
Continuum_2,11.221,11.096,11.145,8.448,10.366,11.080,12.197
Continuum_3,10.094,11.532,9.221,8.967,11.372,9.937,9.921
