,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.052,0.054,0.054,0.027,0.044,0.040,0.069
Continuum_2,0.046,0.050,0.049,0.026,0.043,0.034,0.054
Continuum_3,0.035,0.043,0.042,0.024,0.037,0.025,0.037
