,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,6.185,7.353,7.428,8.539,6.627,9.555,8.361
Continuum_2,8.108,10.456,9.914,10.526,8.668,13.615,10.582
Continuum_3,6.969,9.001,8.478,10.266,8.680,10.977,9.135
