,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.025,0.040,0.038,0.051,0.027,0.060,0.042
Continuum_2,0.024,0.038,0.036,0.045,0.026,0.053,0.035
Continuum_3,0.019,0.032,0.032,0.038,0.024,0.041,0.025
