Name,Flux,Error_flux
Hbeta,0.3694694886901653,0.03337538419196459
Halpha,1.071771176856084,0.01624847990038966
[SII]6716,0.2802133100839967,0.00829851488963015
[SII]6731,0.20391631261930304,0.004379123665749878
HeII4687,0.006591908698725792,0.004523133183516684
HeI5876,0.037808966592196624,0.0028922469375053765
[OIII]4959,0.06312747134085131,0.00984712179726986
[OIII]5007,0.18938241402255393,0.00984712179726986
[OI]6300,0.0575434289567157,0.006658203474845982
[OI]6364,0.0191811429855719,0.006658203474845982
[NII]6548,0.10220388301522189,0.0101366891355388
[NII]6583,0.3066116490456657,0.0101366891355388
