,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.058,0.032,0.032,0.040,0.058,0.064,0.038
Continuum_2,0.047,0.028,0.029,0.039,0.054,0.052,0.031
Continuum_3,0.032,0.021,0.024,0.034,0.045,0.037,0.021
