,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,8.799,6.299,7.444,7.254,10.021,9.238,6.995
Continuum_2,10.116,9.580,8.679,9.958,12.293,12.604,8.538
Continuum_3,9.483,8.029,9.163,10.244,11.492,11.107,5.814
