Name,Flux,Error_flux
Hgamma,0.09185833437651589,0.06780413662740782
Hbeta,0.4492314809755936,0.08486151441381752
Halpha,1.137985310202273,0.06563700027555563
[SII]6716,0.2544932833247934,0.020359085247190208
[SII]6731,0.14370247534131395,0.031540547684556726
HeII4687,0.0036169856657536155,0.03472757197029215
HeI5876,0.07886800164648403,0.027518002379004907
[OIII]4959,0.20752070662870264,0.09580311619240009
[OIII]5007,0.622562119886108,0.09580311619240009
[OI]6300,0.006801003567722742,0.03758153505305223
[OI]6364,0.002267001189240914,0.03758153505305223
[NII]6548,0.1341629396889702,0.057580218156377316
[NII]6583,0.4024888190669106,0.057580218156377316
