,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0493,0.6928,0.1112,0.2121,1.2286
r_e,49.8953,3.0304,49.7637,22.9516,3.6371
n,1.9799,0.9030,1.5145,1.5071,2.3979
x_0,16.5389,25.6716,32.7145,50.5445,59.6129
