,Component 1,Component 2,Component 3,Component 4
I_e,0.8522,22.8040,15.0789,1.9833
r_e,24.1543,1.5782,5.5621,6.0734
n,1.7454,0.3645,0.9123,0.2599
x_0,46.6771,51.5754,60.7191,41.5792
