,Component 1,Component 2,Component 3,Component 4
I_e error,0.1240,7.4320,0.4768,1.1441
r_e error,1.5341,0.2599,0.0838,5.9436
n error,0.1870,0.2752,0.0301,0.2339
x_0 error,0.3869,0.2272,0.0855,9.3897
