,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,4.5605,0.3808,0.0979,0.2745,0.1890,0.0049
r_e,2.3872,2.6932,2.5495,5.7536,11.4101,600.6334
n,0.8470,1.1102,1.1680,0.6007,1.2842,2.7109
x_0,32.6413,70.3139,15.1628,20.8526,38.0598,61.7041
