,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.4852,0.1144,0.3519,0.0998,0.0655,0.0050
r_e error,0.1751,0.4804,8.4169,3.1832,2.7026,604.0622
n error,0.0826,0.2475,2.7511,0.2782,0.2188,0.5964
x_0 error,0.0238,0.0608,0.3513,1.2325,0.3422,0.3892
