,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,1.3594,0.0148,0.3256,0.6168,0.0656
r_e error,0.3574,192.6871,0.9547,1.7035,13.0817
n error,0.4051,1.9224,0.8430,1.5871,0.6222
x_0 error,0.2838,0.0008,0.9335,1.1201,0.3103
