,Component 1,Component 2,Component 3,Component 4
I_e error,0.2727,0.0392,0.3081,0.6559
r_e error,1.2349,45.6507,3.9401,1375.6976
n error,0.2261,1.4394,0.2893,2.9533
x_0 error,0.0482,0.0109,0.4195,1190.1838
