,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.036,0.032,0.036,0.030
Continuum_2,0.019,0.019,0.023,0.019
Continuum_3,0.015,0.015,0.017,0.013
