Name,Flux,Error_flux
Hgamma,0.0,0.13516669947488946
Hbeta,0.08596961510579466,0.13065664023890958
Halpha,0.07950088737238059,0.07860986053974854
[SII]6716,0.058599490206350115,0.0357241363789725
[SII]6731,0.060693396143022646,0.02647584393375598
HeII4687,0.15615895083375608,0.04696354355667016
HeI5876,0.035229401017703436,0.021642481246769544
[OIII]4959,0.007719210008009601,0.048698023695070196
[OIII]5007,0.023157630024028802,0.048698023695070196
[OI]6300,0.0,0.032836600827015824
[OI]6364,0.0,0.032836600827015824
[NII]6548,0.018741552076326908,0.027929622141248146
[NII]6583,0.05622465622898072,0.027929622141248146
