,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,37.361,0.517,0.000,0.000,0.000
Green,3.213,25.546,0.013,0.000,0.000
Purple,48.952,59.885,75.727,17.571,12.073
Orange,4.096,5.803,11.282,61.408,9.851
Chocolate,6.377,8.248,12.978,21.021,78.077
