,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,29.421,0.013,0.001,0.000,0.000
Green,12.474,51.709,13.421,0.141,0.008
Purple,48.338,39.038,66.281,18.546,5.511
Orange,9.503,8.905,19.324,75.074,7.450
Chocolate,0.265,0.335,0.974,6.239,87.032
