,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,10.755,0.004,0.000,0.000,0.000
Green,0.305,38.070,0.111,0.000,0.000
Purple,71.189,48.940,76.198,16.345,11.901
Orange,3.837,3.181,7.095,62.218,7.097
Chocolate,13.914,9.805,16.595,21.437,81.002
