,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,49.376,0.105,0.000,0.000,0.000
Green,0.435,32.601,0.002,0.000,0.000
Purple,41.406,54.638,76.161,15.793,11.087
Orange,3.416,5.189,11.044,67.289,8.771
Chocolate,5.366,7.467,12.793,16.918,80.141
