,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,18.735,0.031,0.001,0.000,0.000
Green,14.478,46.434,13.515,0.157,0.013
Purple,55.592,43.233,64.888,20.789,7.890
Orange,10.894,9.925,20.526,69.848,11.413
Chocolate,0.301,0.378,1.071,9.205,80.685
