,SNR,SNR,SNR,Signal,Signal,Signal,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_1,Spectrum_2,Spectrum_3
Continuum_1,6.931,4.457,1.348,0.047,0.025,0.008,0.007,0.006,0.006
Continuum_2,8.070,5.635,2.412,0.043,0.023,0.010,0.005,0.004,0.004
Continuum_3,8.730,2.342,2.458,0.040,0.021,0.009,0.005,0.009,0.004
