,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.025,0.019,0.035,0.026,0.027
Continuum_2,0.017,0.015,0.027,0.022,0.020
Continuum_3,0.017,0.015,0.025,0.022,0.019
