,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.584,0.321,0.377,0.724,0.500
Continuum_2,0.494,0.306,0.370,0.605,0.419
Continuum_3,0.432,0.292,0.364,0.534,0.359
