,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.367,0.235,0.538,0.502,0.460
Continuum_2,0.322,0.233,0.513,0.459,0.400
Continuum_3,0.284,0.228,0.489,0.427,0.361
