,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.383,0.322,0.332,0.697,0.449
Continuum_2,0.331,0.311,0.340,0.578,0.370
Continuum_3,0.294,0.296,0.338,0.491,0.312
