,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.023,0.024,0.024,0.031,0.024
Continuum_2,0.017,0.019,0.020,0.024,0.018
Continuum_3,0.017,0.017,0.017,0.030,0.018
