,Component 1,Component 2,Component 3,Component 4
I_e error,0.0607,0.0170,0.0094,1.8146
r_e error,1.1159,276.5629,1236.7378,11.2704
n error,0.2101,2.3250,6.2821,0.8490
x_0 error,0.1031,0.0002,0.7226,0.4672
