,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5748,0.2866,1.5988,0.0434,0.0733,0.3844
r_e,0.0000,0.6527,0.0799,60.2402,4.4404,3.8184
n,2.0373,3.8277,0.5022,1.2032,1.1353,0.7567
x_0,29.8765,61.3041,102.6078,50.5971,68.4999,26.9416
