,Component 1,Component 2,Component 3,Component 4
I_e,0.2269,0.0062,0.0010,0.0815
r_e,6.2880,129.3451,134.3544,5.6283
n,1.1499,3.6897,3.0649,0.0528
x_0,27.0730,61.5979,102.7957,45.2513
