,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.3406,0.4154,0.0094,0.0974,0.0465,0.0308,0.0323
r_e,4.4517,0.7437,52.7892,9.5199,8.5578,32.0235,47.7535
n,0.8473,2.5533,1.6555,0.5682,1.4831,0.0891,0.0638
x_0,26.9567,61.2111,102.1125,48.2148,68.1833,54.3546,30.5661
