,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.779,78.556,13.514,0.833,4.383
Green,0.000,0.211,0.000,0.000,0.000
Purple,1.112,19.316,80.345,0.790,2.072
Orange,0.109,1.918,6.107,94.218,25.482
Chocolate,0.000,0.000,0.034,4.159,68.063
