,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.028,0.080,0.082,0.196,0.096,0.079,0.048
Continuum_2,0.027,0.068,0.071,0.153,0.092,0.069,0.045
Continuum_3,0.024,0.057,0.062,0.123,0.085,0.059,0.039
