,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,4.942,9.515,11.223,16.345,11.843,11.113,8.468
Continuum_2,5.299,9.622,10.668,14.746,13.447,11.124,8.656
Continuum_3,3.770,6.579,7.253,12.068,10.730,8.384,4.509
