,SNR,Signal,Noise
Spettro_1,-0.216,-0.005,0.021
Spettro_2,0.208,0.005,0.025
Spettro_3,-0.143,-0.003,0.020
Spettro_4,8.030,0.209,0.026
Spettro_5,16.684,0.389,0.023
Spettro_6,77.456,1.368,0.018
Spettro_7,66.015,1.725,0.026
Spettro_8,22.686,0.842,0.037
Spettro_9,25.228,0.697,0.028
Spettro_10,19.782,0.696,0.035
Spettro_11,35.351,0.927,0.026
Spettro_12,88.142,2.449,0.028
Spettro_13,60.575,2.255,0.037
Spettro_14,43.746,0.833,0.019
Spettro_15,11.249,0.250,0.022
Spettro_16,4.332,0.113,0.026
Spettro_17,2.924,0.044,0.015
Spettro_18,3.487,0.061,0.018
Spettro_19,3.340,0.053,0.016
Spettro_20,5.258,0.068,0.013
