,SNR,Signal,Noise
Spettro_1,9.383,0.186,0.020
Spettro_2,27.399,0.678,0.025
Spettro_3,10.897,0.301,0.028
Spettro_4,47.675,1.400,0.029
Spettro_5,125.719,4.852,0.039
Spettro_6,648.731,30.209,0.047
Spettro_7,1368.247,143.953,0.105
Spettro_8,403.878,22.536,0.056
Spettro_9,544.933,25.327,0.046
Spettro_10,219.023,11.560,0.053
Spettro_11,404.971,22.517,0.056
Spettro_12,1387.848,123.094,0.089
Spettro_13,1156.620,171.244,0.148
Spettro_14,535.360,51.684,0.097
Spettro_15,175.144,8.922,0.051
Spettro_16,89.823,3.266,0.036
Spettro_17,31.760,0.824,0.026
Spettro_18,5.694,0.158,0.028
Spettro_19,5.039,0.142,0.028
Spettro_20,4.541,0.131,0.029
