,SNR,Signal,Noise
Spettro_1,1.464,0.034,0.023
Spettro_2,3.075,0.069,0.022
Spettro_3,4.407,0.113,0.026
Spettro_4,12.576,0.421,0.033
Spettro_5,22.872,0.834,0.036
Spettro_6,79.046,2.884,0.036
Spettro_7,67.666,2.883,0.043
Spettro_8,33.310,1.666,0.050
Spettro_9,54.832,1.455,0.027
Spettro_10,31.778,1.269,0.040
Spettro_11,40.413,1.766,0.044
Spettro_12,82.160,4.154,0.051
Spettro_13,61.732,3.816,0.062
Spettro_14,57.165,1.666,0.029
Spettro_15,19.454,0.563,0.029
Spettro_16,8.368,0.203,0.024
Spettro_17,0.686,0.023,0.034
Spettro_18,-0.189,-0.004,0.021
Spettro_19,-1.765,-0.039,0.022
Spettro_20,1.020,0.020,0.020
