,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.008,0.008,0.009,0.009,0.010,0.013,0.022,0.017,0.017,0.014,0.012,0.017,0.056,0.018,0.013,0.009,0.007,0.007,0.008,0.008
Continuum_2,0.006,0.006,0.007,0.007,0.009,0.009,0.014,0.012,0.013,0.010,0.009,0.014,0.032,0.010,0.007,0.007,0.007,0.006,0.006,0.006
Continuum_3,0.006,0.006,0.006,0.007,0.007,0.009,0.012,0.010,0.011,0.009,0.008,0.013,0.019,0.009,0.007,0.007,0.006,0.006,0.006,0.006
