Name,Flux,Error_flux
Hgamma,0.5521157551689722,0.04175764814676238
Hbeta,1.4374254088743172,0.07569868653120887
Halpha,4.389112342296881,0.0653454826101822
[SII]6716,0.8032383081318194,0.022137047665809255
[SII]6731,0.6514321597327769,0.016269660311765854
HeII4687,0.01294979020193523,0.009874508067360436
HeI5876,0.16795729205939783,0.00985474340581817
[OIII]4959,0.1243302572466651,0.05217224441795883
[OIII]5007,0.3729907717399953,0.05217224441795883
[OI]6300,0.11018005748144787,0.016769656694411977
[OI]6364,0.03672668582714929,0.016769656694411977
[NII]6548,0.6127426098064241,0.05718748040362638
[NII]6583,1.8382278294192724,0.05718748040362638
