,Peak 1,Peak 2,Peak 3,Peak 4
Blue,93.153,60.922,3.326,4.147
Green,4.347,27.640,0.016,0.000
Purple,1.808,8.612,91.727,33.091
Orange,0.692,2.826,4.931,62.762
