,Peak 1,Peak 2,Peak 3,Peak 4
Blue,80.590,39.456,2.468,3.058
Green,14.678,49.885,2.878,2.945
Purple,3.101,7.496,89.426,27.746
Orange,1.630,3.162,5.228,66.251
