,Peak 1,Peak 2,Peak 3,Peak 4
Blue,89.330,62.333,5.699,7.078
Green,8.428,27.440,0.104,0.000
Purple,1.601,7.550,87.249,27.903
Orange,0.641,2.677,6.949,65.019
