,Peak 1,Peak 2,Peak 3,Peak 4
Blue,86.159,52.892,1.564,0.908
Green,10.929,39.408,2.273,1.188
Purple,2.546,6.793,92.375,37.267
Orange,0.366,0.906,3.788,60.637
