,Peak 1,Peak 2,Peak 3,Peak 4
Blue,86.358,36.110,1.862,2.077
Green,10.189,55.255,2.078,2.062
Purple,2.547,6.572,91.223,29.521
Orange,0.906,2.063,4.836,66.339
