,Peak 1,Peak 2,Peak 3,Peak 4
Blue,94.635,43.720,3.494,3.466
Green,4.579,53.483,0.512,0.088
Purple,0.546,2.030,91.566,20.447
Orange,0.240,0.766,4.428,76.000
