,Peak 1,Peak 2,Peak 3,Peak 4
Blue,81.583,44.929,2.151,2.152
Green,14.303,45.909,2.408,2.133
Purple,3.045,6.997,89.884,30.645
Orange,1.069,2.164,5.557,65.070
