,Peak 1,Peak 2,Peak 3,Peak 4
Blue,87.697,33.457,1.559,2.016
Green,9.128,58.251,1.734,2.000
Purple,2.341,6.306,92.641,28.491
Orange,0.834,1.986,4.066,67.494
