,Peak 1,Peak 2,Peak 3,Peak 4
Blue,91.812,59.890,5.009,6.855
Green,6.464,29.516,0.072,0.000
Purple,1.227,7.805,88.806,26.643
Orange,0.496,2.788,6.113,66.502
