,Peak 1,Peak 2,Peak 3,Peak 4
Blue,86.299,39.114,2.427,2.646
Green,11.905,53.346,1.555,0.525
Purple,1.516,6.395,91.779,26.979
Orange,0.280,1.146,4.240,69.850
